squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Avispa Fukuoka,28,28.0,40.5,38,418,3420,38.0,39,25,64,36,3,6,49,2,1.03,0.66,1.68,0.95,1.61
Cerezo Osaka,31,28.1,50.1,38,418,3420,38.0,46,36,82,44,2,4,28,0,1.21,0.95,2.16,1.16,2.11
Consa Sapporo,25,27.0,58.2,38,418,3420,38.0,47,34,81,43,4,4,35,2,1.24,0.89,2.13,1.13,2.03
FC Tokyo,32,27.6,46.0,38,418,3420,38.0,48,36,84,46,2,3,36,3,1.26,0.95,2.21,1.21,2.16
Gamba Osaka,30,28.1,47.8,38,418,3420,38.0,33,19,52,26,7,7,37,1,0.87,0.5,1.37,0.68,1.18
Grampus,23,28.1,49.4,38,418,3420,38.0,41,27,68,39,2,2,31,0,1.08,0.71,1.79,1.03,1.74
Kashima Antlers,29,25.4,51.1,38,418,3420,38.0,62,42,104,59,3,4,49,3,1.63,1.11,2.74,1.55,2.66
Kashiwa Reysol,33,26.9,47.0,38,418,3420,38.0,37,28,65,35,2,4,34,2,0.97,0.74,1.71,0.92,1.66
Kawa Frontale,27,28.3,57.1,38,418,3420,38.0,78,58,136,75,3,4,18,0,2.05,1.53,3.58,1.97,3.5
Marinos,26,26.7,65.0,38,418,3420,38.0,78,53,131,71,7,7,44,3,2.05,1.39,3.45,1.87,3.26
Oita Trinita,33,27.8,48.4,38,418,3420,38.0,29,15,44,27,2,4,22,1,0.76,0.39,1.16,0.71,1.11
S-Pulse,30,27.1,41.8,38,418,3420,38.0,35,24,59,35,0,0,22,1,0.92,0.63,1.55,0.92,1.55
Sagan Tosu,31,25.7,52.9,38,418,3420,38.0,43,28,71,41,2,2,37,3,1.13,0.74,1.87,1.08,1.82
Sanfrecce,28,27.2,48.7,38,418,3420,38.0,44,27,71,40,4,4,26,2,1.16,0.71,1.87,1.05,1.76
Shonan Bellmare,32,25.7,44.8,38,418,3420,38.0,36,28,64,36,0,0,34,2,0.95,0.74,1.68,0.95,1.68
Urawa Reds,29,27.8,53.7,38,418,3420,38.0,47,31,78,40,7,8,26,0,1.24,0.82,2.05,1.05,1.87
Vegalta Sendai,28,27.3,43.0,38,418,3420,38.0,31,24,55,31,0,1,41,2,0.82,0.63,1.45,0.82,1.45
Vissel Kobe,31,27.6,55.5,38,418,3420,38.0,61,46,107,56,5,5,31,0,1.61,1.21,2.82,1.47,2.68
Vortis,32,25.7,55.4,38,418,3420,38.0,32,17,49,30,2,2,41,1,0.84,0.45,1.29,0.79,1.24
Yokohama FC,36,27.4,44.4,38,418,3420,38.0,31,25,56,31,0,0,42,2,0.82,0.66,1.47,0.82,1.47
