rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,attendance,top_team_scorer,goalkeeper,notes
1,Vissel Kobe,38,21,9,8,61,36,25,72,1.89,21811,Yoshinori Mutō - 13,Daiya Maekawa,
2,Sanfrecce,38,19,11,8,72,43,29,68,1.79,25609,Yuki Ohashi - 10,Keisuke Ōsako,
3,Machida Zelvia,38,19,9,10,54,34,20,66,1.74,17610,Shota Fujio - 10,Kosei Tani,
4,Gamba Osaka,38,18,12,8,49,35,14,66,1.74,26096,Takashi Usami - 12,Jun Ichimori,
5,Kashima Antlers,38,18,11,9,60,41,19,65,1.71,23027,Yuma Suzuki - 15,Tomoki Hayakawa,
6,Tokyo Verdy,38,14,14,10,51,51,0,56,1.47,20976,Yūdai Kimura - 10,Matheus Caldeira Vidotto de Oliveira,
7,FC Tokyo,38,15,9,14,53,51,2,54,1.42,33225,Ryotaro Araki - 7,Taishi Nozawa,
8,Kawa Frontale,38,13,13,12,66,57,9,52,1.37,21069,Shin Yamada - 19,Jung Sung-ryong,
9,Marinos,38,15,7,16,61,62,-1,52,1.37,24843,Anderson Lopes - 24,William Popp,
10,Cerezo Osaka,38,13,13,12,43,48,-5,52,1.37,17903,Leonardo - 21,Kim Jin-hyeon,
11,Grampus,38,15,5,18,44,47,-3,50,1.32,27636,"Kensuke Nagai, Sho Inagaki - 6",Mitchell Langerak,
12,Avispa Fukuoka,38,12,14,12,33,38,-5,50,1.32,9680,Shahab Zahedi - 9,Masaaki Murakami,
13,Urawa Reds,38,12,12,14,49,45,4,48,1.26,37519,Thiago Santana - 12,Shusaku Nishikawa,
14,Kyoto Sanga,38,12,11,15,43,55,-12,47,1.24,13535,Rafael Elias - 11,Gu Sung-yun,
15,Shonan Bellmare,38,12,9,17,53,58,-5,45,1.18,11315,Lukian Araújo de Almeida - 11,Song Bumkeun,
16,Albirex Niigata,38,10,12,16,44,59,-15,42,1.11,22430,Kaito Taniguchi - 10,Ryosuke Kojima,
17,Kashiwa Reysol,38,9,14,15,39,51,-12,41,1.08,12070,"Matheus Sávio, Kosuke Kinoshita - 9",Kenta Matsumoto,
18,Júbilo Iwata,38,10,8,20,47,68,-21,38,1.0,13817,Ryo Germain - 19,Eiji Kawashima,Relegated
19,Consa Sapporo,38,9,10,19,43,66,-23,37,0.97,17086,"Musashi Suzuki, Ryota Aoki... - 6",Takanori Sugeno,Relegated
20,Sagan Tosu,38,10,5,23,48,68,-20,35,0.92,9800,Marcelo Ryan - 14,Park Iru-gyu,Relegated
